frame,model1_herding_cohesion,model2_intercept_cohesion,model3_coordination_cohesion,model1_boid_count,model2_boid_count,model3_boid_count
10,297.49,297.49,297.41,100,100,100
20,300.84,300.85,300.57,100,100,100
30,307.11,307.13,306.05,100,100,100
40,313.29,313.49,312.03,100,100,100
50,317.38,317.65,317.19,99,99,100
60,319.76,319.65,321.97,98,97,100
70,317.76,318.46,326.78,98,96,100
80,311.54,311.72,335.32,97,95,100
90,307.93,308.25,346.04,97,95,100
100,303.41,304.54,356.28,97,95,100
110,298.96,301.04,365.52,96,95,100
120,294.57,296.06,372.69,96,95,100
130,290.88,289.90,376.38,96,95,100
140,286.41,279.47,373.54,94,94,100
150,280.19,268.73,365.38,94,94,100
160,276.14,259.35,352.65,93,93,100
170,270.14,249.66,338.08,93,93,100
180,263.17,244.15,321.27,91,93,100
190,252.62,246.23,301.90,91,93,100
200,246.16,245.83,280.61,91,92,100
210,244.45,248.62,258.10,91,92,100
220,243.11,249.64,235.13,91,91,100
230,241.52,252.40,210.37,90,90,100
240,235.88,256.89,185.11,90,90,100
250,229.50,263.50,159.94,90,88,100
260,223.86,262.98,138.10,90,86,100
270,221.97,267.70,123.38,90,86,100
280,220.62,272.59,119.75,90,86,99
290,217.14,268.14,124.03,90,85,99
300,206.89,266.47,132.38,90,85,99
310,188.22,266.16,144.84,89,85,99
320,178.55,267.58,162.28,89,84,99
330,170.11,271.94,180.34,89,84,99
340,161.05,282.65,192.86,89,81,99
350,153.94,287.88,195.53,89,80,99
360,151.02,287.97,197.94,89,80,99
370,150.43,287.18,199.42,89,80,99
380,148.61,287.88,195.76,89,80,97
390,147.28,290.04,185.91,89,80,96
400,153.43,290.99,169.74,89,80,95
410,166.86,291.58,150.87,87,80,95
420,180.99,293.56,131.07,87,80,94
430,196.19,296.58,112.78,87,79,94
440,209.81,300.19,96.11,87,77,94
450,221.62,302.38,82.77,87,74,94
460,231.38,308.52,75.11,87,73,94
470,238.47,317.96,74.61,87,73,94
480,243.49,326.42,81.46,87,73,94
490,251.19,333.13,91.86,87,73,94
500,262.59,340.52,99.79,87,73,91
510,276.81,349.50,107.14,87,73,88
520,292.81,358.70,119.73,87,73,87
530,307.60,364.93,132.53,87,73,87
540,321.42,368.33,139.52,87,73,87
550,335.57,369.91,145.71,87,73,87
560,347.42,358.66,154.89,87,72,87
570,353.72,356.48,165.22,87,72,87
580,359.40,354.98,174.17,84,72,87
590,361.83,360.41,189.72,81,72,85
600,355.83,375.35,211.78,81,72,83
610,347.11,389.62,231.87,81,72,83
620,338.41,399.30,253.89,81,72,83
630,321.68,404.27,277.00,80,72,83
640,317.00,406.33,299.66,80,72,83
650,311.15,406.09,323.00,80,72,83
660,301.91,394.22,346.87,80,71,83
670,288.45,390.57,370.29,80,71,82
680,273.02,382.84,391.91,80,71,82
690,258.70,373.05,406.74,80,71,82
700,245.39,362.45,416.00,80,71,82
710,233.63,350.28,423.05,80,71,82
720,222.90,335.61,428.09,80,71,82
730,213.34,319.79,429.29,80,71,82
740,203.45,303.25,425.35,80,71,80
750,191.79,284.75,417.75,80,71,80
760,182.90,266.03,405.40,80,70,79
770,177.26,247.14,403.48,80,70,79
780,172.33,230.51,407.26,80,70,79
790,165.95,215.53,407.81,80,70,79
800,157.58,201.73,404.04,80,70,79
810,149.97,190.24,391.70,80,69,78
820,145.29,180.91,371.84,80,69,76
830,143.30,175.47,357.47,80,69,75
840,143.45,174.17,350.00,80,69,75
850,144.69,174.57,334.57,80,69,74
860,144.60,173.15,319.89,80,69,73
870,142.37,169.29,300.17,80,69,72
880,140.67,160.30,273.84,80,69,71
890,140.55,148.64,250.16,79,69,70
900,145.57,137.71,232.32,79,69,70
910,150.38,129.98,210.23,79,66,69
920,153.82,125.67,193.35,79,66,69
930,156.85,120.61,176.88,78,66,69
940,168.43,118.28,162.04,75,66,69
950,173.15,121.31,148.11,75,66,69
960,172.59,126.65,136.29,74,65,69
970,168.40,133.81,126.42,74,65,69
980,163.63,140.86,120.18,74,65,69
990,160.12,148.40,116.62,74,64,69
1000,156.73,160.83,114.29,74,64,69
1010,152.40,173.73,113.21,74,64,69
1020,148.59,185.48,112.11,74,63,69
1030,145.31,190.07,107.70,74,62,69
1040,140.30,187.58,101.99,74,62,69
1050,134.14,187.75,97.54,74,62,69
1060,116.53,179.23,94.82,73,61,69
1070,113.89,176.14,93.36,73,61,69
1080,110.87,175.19,92.17,72,59,69
1090,109.98,172.43,94.43,72,59,69
1100,109.83,168.54,102.97,72,59,69
1110,108.93,165.39,115.44,72,59,69
1120,107.07,171.26,122.57,72,55,68
1130,89.81,169.77,137.68,70,54,68
1140,87.42,164.38,154.91,70,54,68
1150,83.66,158.66,173.80,70,54,68
1160,77.98,156.16,182.67,70,54,67
1170,72.19,158.33,200.00,70,54,67
1180,67.42,162.71,213.24,70,54,67
1190,64.34,166.21,217.92,70,54,67
1200,62.24,168.09,214.92,70,54,67
1210,60.11,168.70,210.03,69,54,67
1220,62.86,168.01,200.28,66,54,66
1230,70.25,166.49,197.51,64,54,66
1240,78.91,161.35,195.73,64,54,66
1250,83.70,152.00,194.94,64,54,66
1260,81.93,142.74,194.18,64,54,66
1270,75.61,133.57,191.66,64,53,66
1280,69.13,125.99,186.43,64,53,66
1290,65.24,117.55,179.75,64,51,66
1300,65.27,111.08,172.58,64,50,66
1310,70.29,103.88,167.88,64,50,66
1320,74.84,96.07,163.76,64,50,65
1330,73.96,91.96,167.33,62,50,63
1340,70.33,94.36,173.51,62,49,59
1350,74.48,100.75,180.03,61,48,56
1360,81.29,111.83,186.10,58,48,56
1370,81.57,122.27,191.74,56,48,56
1380,78.78,133.04,197.26,56,48,56
1390,77.02,144.43,204.43,56,48,56
1400,78.50,156.61,214.89,56,48,56
1410,79.76,169.14,229.95,56,48,56
1420,79.67,181.62,238.71,56,48,55
1430,80.51,189.06,246.15,56,47,55
1440,90.89,198.11,250.43,55,47,54
1450,108.49,193.19,249.43,54,46,53
1460,124.45,189.41,243.63,54,46,52
1470,130.41,184.44,228.86,54,46,52
1480,129.51,182.81,210.02,53,46,52
1490,129.01,184.61,190.55,53,46,52
1500,127.47,188.78,171.40,53,46,52
1510,122.63,193.41,155.74,53,46,52
1520,119.50,199.66,144.31,53,46,52
1530,119.69,215.57,138.75,53,46,52
1540,124.15,237.19,138.33,53,46,52
1550,127.94,260.58,140.99,52,46,52
1560,133.23,283.89,142.59,51,44,52
1570,143.09,311.29,137.82,51,39,52
1580,149.72,336.79,130.86,51,39,52
1590,153.89,358.30,126.24,51,39,52
1600,158.63,374.36,125.51,51,38,52
1610,164.17,387.14,125.42,51,38,52
1620,171.27,396.66,126.18,51,38,51
1630,177.06,406.08,123.54,51,38,51
1640,182.07,420.01,124.31,51,38,51
1650,188.23,436.64,150.01,51,38,45
1660,194.40,450.43,175.84,51,38,43
1670,200.37,456.70,197.64,51,38,41
1680,203.36,452.86,210.83,51,38,41
1690,199.19,438.23,226.89,51,38,39
1700,191.98,416.46,231.76,51,37,38
1710,183.05,395.20,229.44,49,37,37
1720,180.99,375.09,217.86,49,37,36
1730,184.29,360.17,207.30,49,37,36
1740,191.74,347.95,198.48,49,37,35
1750,200.48,335.79,195.15,49,37,35
1760,209.59,321.70,194.54,49,37,35
1770,220.90,305.63,193.83,49,37,35
1780,233.01,286.23,195.96,49,36,35
1790,247.77,271.61,200.18,47,36,35
1800,264.77,252.14,205.18,45,35,35
1810,277.67,239.17,211.42,44,35,35
1820,287.49,226.95,219.56,44,35,35
1830,296.87,216.82,227.76,43,35,35
1840,302.53,208.50,234.65,42,35,35
1850,300.80,199.19,238.37,42,35,35
1860,294.47,187.36,240.83,42,35,35
1870,285.24,175.71,246.48,42,35,35
1880,276.73,149.11,253.26,42,34,35
1890,271.81,147.85,257.32,41,34,35
1900,269.80,150.11,258.92,41,34,35
1910,270.46,157.97,260.34,41,34,35
1920,271.84,171.69,262.13,41,34,35
1930,271.86,191.10,264.95,41,34,35
1940,273.70,212.55,266.65,40,34,35
1950,273.37,234.10,271.15,40,34,35
1960,272.71,255.40,280.52,40,34,35
1970,274.31,276.41,293.04,40,34,35
1980,276.19,294.80,304.87,40,34,35
1990,276.63,311.90,315.44,40,33,35
2000,281.35,322.32,323.57,40,32,35
2010,291.24,326.45,320.64,40,32,35
2020,299.78,332.40,300.68,40,32,35
2030,309.12,334.21,275.84,39,32,35
2040,312.31,351.31,252.95,39,28,35
2050,314.37,341.16,231.12,39,28,35
2060,312.63,329.91,210.73,39,28,35
2070,305.48,318.77,192.57,39,28,35
2080,296.91,304.54,179.00,39,28,35
2090,287.77,286.27,172.98,39,28,35
2100,279.14,267.67,172.88,39,28,35
2110,268.89,248.25,173.25,39,28,35
2120,256.96,231.00,174.58,39,28,35
