frame,model1_herding_cohesion,model2_intercept_cohesion,model3_coordination_cohesion,model1_boid_count,model2_boid_count,model3_boid_count
10,297.75,297.75,297.71,100,100,100
20,301.35,301.36,300.89,100,100,100
30,307.72,307.77,305.39,100,100,100
40,312.72,312.94,308.83,100,100,100
50,313.40,314.07,310.57,98,98,100
60,313.52,313.46,313.21,98,97,100
70,309.26,308.78,316.69,98,97,100
80,302.17,300.55,319.72,97,95,100
90,292.92,294.26,322.27,95,94,100
100,289.56,286.81,325.98,95,92,100
110,284.90,280.14,330.12,93,90,100
120,284.33,279.31,330.73,93,88,100
130,282.99,278.98,325.86,93,87,100
140,278.42,271.82,319.34,92,86,100
150,272.31,263.36,313.22,92,86,100
160,267.50,255.40,306.86,92,86,100
170,266.26,249.19,306.37,92,86,99
180,269.63,246.91,312.16,92,86,98
190,272.93,248.87,321.08,92,86,98
200,272.84,253.24,330.15,92,86,98
210,270.30,257.57,334.87,92,86,98
220,266.97,259.28,337.65,92,86,98
230,257.60,257.96,341.50,91,86,98
240,246.00,256.85,346.99,91,85,97
250,231.83,257.79,351.07,91,85,96
260,219.43,257.93,352.58,91,85,94
270,212.45,258.80,350.04,91,84,91
280,211.19,260.13,343.21,91,83,89
290,214.09,265.27,335.80,91,83,87
300,221.18,269.64,334.24,91,83,86
310,230.21,266.69,338.79,91,81,86
320,236.26,259.64,343.44,90,81,86
330,244.32,256.19,346.83,90,79,86
340,249.93,252.49,347.77,90,79,86
350,253.08,248.12,347.48,90,78,86
360,257.66,246.29,346.65,90,78,86
370,263.50,243.99,344.63,88,78,85
380,269.71,242.72,343.70,87,78,85
390,279.83,244.72,345.07,85,78,85
400,290.40,250.37,348.12,84,78,85
410,300.66,260.64,351.12,82,77,85
420,300.36,272.76,352.24,82,77,85
430,294.67,287.55,348.36,82,77,85
440,287.12,304.71,336.85,82,77,85
450,278.32,321.07,322.52,82,76,85
460,271.82,335.68,312.93,79,75,84
470,261.35,349.37,308.97,75,75,84
480,251.55,360.14,306.71,75,75,84
490,242.71,366.24,301.03,75,75,84
500,235.08,365.00,297.94,75,75,81
510,229.75,356.10,293.05,75,75,80
520,228.68,345.93,283.97,74,75,79
530,229.09,336.95,271.11,74,74,78
540,227.09,324.29,258.30,74,74,77
550,221.32,313.82,254.61,74,74,77
560,215.77,307.41,255.83,74,73,77
570,211.75,303.26,259.19,74,73,77
580,208.20,304.67,260.78,74,73,76
590,205.64,314.65,259.82,74,71,75
600,206.13,321.83,250.33,74,71,75
610,211.94,325.11,238.49,74,71,75
620,220.58,319.07,215.40,74,70,73
630,231.38,315.81,201.77,74,70,72
640,240.04,309.45,193.01,74,70,72
650,240.36,299.44,188.64,71,69,72
660,235.48,289.97,188.53,70,68,72
670,229.70,281.34,190.36,68,66,72
680,220.84,285.91,186.29,68,65,71
690,213.13,291.54,188.51,67,65,71
700,204.86,296.25,188.55,67,65,71
710,195.72,300.60,191.06,67,65,70
720,185.79,314.86,198.28,67,63,70
730,178.17,325.86,206.53,67,63,70
740,173.11,337.77,213.16,67,63,70
750,169.38,346.07,216.36,67,63,70
760,165.54,349.49,211.07,67,63,70
770,163.43,351.67,204.51,67,63,70
780,167.19,353.85,198.17,67,63,70
790,176.88,355.73,193.07,67,63,70
800,190.76,358.47,190.21,67,63,70
810,206.59,360.03,189.79,67,63,70
820,218.83,358.35,190.74,67,63,70
830,224.24,351.24,191.81,67,63,70
840,227.02,339.55,193.82,67,63,70
850,228.75,325.84,194.67,67,63,70
860,228.64,312.42,193.50,67,63,70
870,224.09,302.53,190.67,66,63,70
880,205.10,292.88,186.82,63,62,70
890,197.09,284.86,183.32,61,62,70
900,192.64,278.74,179.64,61,62,70
910,191.09,275.81,174.79,61,62,70
920,191.62,275.84,166.83,61,62,70
930,194.43,278.42,156.14,61,62,70
940,199.36,284.99,144.71,61,62,70
950,208.04,294.18,135.02,61,62,70
960,220.27,304.17,128.13,61,61,70
970,233.64,316.11,123.64,61,61,70
980,245.55,327.43,120.45,61,61,70
990,252.29,336.00,117.48,61,61,70
1000,251.77,339.13,114.01,61,60,70
1010,248.62,335.55,109.50,61,59,70
1020,247.85,326.90,102.80,61,59,70
1030,249.91,318.54,97.51,61,59,70
1040,253.78,314.31,98.01,61,59,70
1050,258.62,315.04,105.97,61,59,70
1060,260.59,319.61,119.40,61,59,70
1070,258.76,326.42,133.94,60,59,70
1080,256.47,334.34,146.81,60,59,70
1090,259.01,344.42,156.93,60,59,70
1100,263.68,354.24,163.51,60,59,70
1110,267.89,360.73,165.13,60,59,70
1120,273.69,364.48,163.34,60,59,69
1130,283.47,384.49,160.62,60,56,68
1140,295.39,412.95,155.66,60,52,68
1150,308.26,422.28,141.57,60,51,66
1160,319.48,430.28,134.41,60,49,66
1170,327.40,427.43,130.14,60,49,65
1180,331.08,430.31,127.18,60,48,65
1190,331.21,425.76,124.75,60,48,65
1200,318.88,418.26,125.31,59,48,65
1210,314.75,408.55,129.53,58,48,63
1220,294.56,398.52,131.61,56,48,63
1230,283.17,391.86,125.12,56,48,60
1240,268.42,389.35,128.28,56,48,60
1250,251.56,385.20,131.90,56,48,60
1260,234.84,375.20,136.60,56,48,60
1270,207.18,366.31,142.34,55,47,60
1280,191.22,359.27,145.42,55,47,60
1290,176.54,353.89,142.17,55,47,60
1300,169.37,351.15,139.41,55,47,58
1310,170.94,349.45,136.01,55,47,58
1320,184.54,351.27,131.25,54,45,57
1330,204.63,350.16,128.96,52,45,56
1340,226.70,349.79,126.56,52,45,55
1350,247.96,347.89,134.78,52,45,55
1360,265.55,341.04,148.88,51,44,55
1370,277.94,331.38,164.69,51,44,55
1380,286.28,319.22,182.26,51,44,55
1390,292.22,305.90,198.93,51,44,55
1400,301.04,290.68,207.14,50,44,53
1410,308.70,279.49,218.55,50,44,53
1420,315.46,271.10,229.11,50,44,53
1430,319.12,263.06,241.53,50,44,53
1440,314.61,256.80,253.30,50,44,53
1450,306.50,259.25,267.14,50,44,53
1460,301.86,272.88,281.43,50,42,52
1470,300.63,280.35,293.54,50,41,52
1480,300.16,281.23,306.27,50,41,52
1490,299.11,280.10,321.51,50,41,51
1500,294.61,280.59,337.32,48,40,50
1510,290.66,281.22,352.98,48,40,50
1520,284.72,284.13,368.63,48,40,50
1530,277.87,286.90,386.52,48,40,49
1540,269.37,288.36,399.04,48,40,49
1550,259.97,285.64,409.27,48,40,49
1560,252.37,277.46,418.73,48,40,49
1570,250.87,265.31,421.33,47,40,49
1580,246.10,251.17,414.47,47,40,49
1590,241.23,235.83,403.61,47,40,49
1600,234.12,218.58,393.58,44,40,49
1610,225.85,201.60,382.20,44,40,49
1620,218.40,183.65,369.11,44,40,49
1630,215.28,167.29,355.89,44,40,49
1640,217.87,153.10,341.43,44,40,49
1650,227.96,145.21,326.94,44,40,49
1660,242.21,141.87,315.93,44,40,49
1670,256.90,139.06,306.56,44,40,49
1680,267.99,129.04,296.95,44,39,49
1690,273.74,120.64,286.50,44,39,49
1700,272.84,113.16,276.39,44,39,49
1710,265.98,110.61,273.92,44,39,49
1720,259.08,115.32,272.11,44,39,49
1730,244.06,125.69,267.43,43,39,49
1740,240.26,136.01,261.36,43,39,49
1750,238.34,144.46,253.29,43,39,49
1760,238.65,152.57,239.40,43,39,47
1770,239.64,158.35,221.14,43,39,46
1780,234.87,156.51,213.84,43,38,43
1790,216.81,154.11,206.69,43,38,42
1800,195.94,151.32,199.12,43,38,38
