frame,model1_herding_cohesion,model2_intercept_cohesion,model3_coordination_cohesion,model1_boid_count,model2_boid_count,model3_boid_count
1550,202.23,101.78,209.57,80,72,80
1560,203.80,101.63,196.60,80,72,80
1570,210.03,100.83,185.13,80,72,80
1580,221.67,98.37,174.24,80,72,80
1590,237.86,95.06,165.19,80,72,80
1600,261.64,91.53,159.49,79,72,80
1610,286.06,87.91,156.61,79,72,80
1620,309.13,82.12,157.20,79,72,80
1630,326.24,69.65,160.38,79,72,80
1640,337.74,55.60,164.31,79,72,80
1650,348.01,49.48,166.25,79,72,80
1660,355.71,47.32,165.16,79,72,80
1670,362.33,48.64,162.86,79,72,80
1680,366.48,52.95,160.54,79,71,80
1690,365.93,56.39,157.53,79,71,80
1700,363.43,62.54,153.12,79,71,80
1710,361.74,71.83,147.79,79,71,80
1720,361.93,82.03,143.39,79,71,80
1730,366.15,91.18,140.05,79,71,80
1740,374.47,97.79,139.28,79,71,80
1750,385.77,102.05,142.31,79,71,80
1760,399.20,105.97,148.83,79,71,80
1770,414.50,108.95,157.10,79,71,80
1780,430.75,111.12,164.52,79,71,80
1790,440.88,112.59,171.61,78,71,80
1800,438.16,112.52,178.54,77,71,80
1810,427.67,111.72,184.93,76,71,80
1820,412.81,111.22,191.28,76,71,80
1830,396.23,111.50,197.78,76,71,80
1840,385.69,111.98,201.88,76,71,80
1850,379.31,110.37,202.48,76,71,80
1860,372.15,105.87,200.64,76,71,80
1870,360.28,100.58,194.81,76,71,80
1880,342.95,95.61,183.42,76,71,80
1890,323.28,91.75,168.62,75,71,80
1900,301.30,91.34,154.59,74,71,80
1910,276.66,94.43,142.67,73,71,80
1920,251.86,99.67,124.53,73,71,79
1930,228.73,111.55,119.33,73,69,79
1940,209.51,121.97,117.72,73,68,79
1950,197.38,122.23,119.55,73,68,79
1960,195.50,119.38,124.59,73,68,79
1970,203.61,118.12,128.99,73,68,79
1980,215.49,118.77,129.60,73,68,79
1990,226.08,121.28,126.90,73,68,79
2000,230.87,123.55,123.15,73,68,79
2010,232.53,123.95,120.00,73,68,79
2020,235.67,120.21,117.24,73,68,79
2030,243.41,111.48,114.78,73,68,79
2040,253.81,101.75,112.78,73,68,79
2050,262.99,91.90,111.43,73,68,79
2060,272.42,84.65,109.35,72,67,79
2070,276.22,90.56,106.76,72,65,79
2080,280.96,103.98,104.63,72,64,79
2090,290.66,121.98,103.22,72,64,79
2100,305.77,147.64,102.20,72,64,79
2110,321.41,176.02,101.33,72,64,79
2120,332.47,204.83,100.92,72,64,79
2130,344.30,231.11,101.40,71,64,79
2140,351.83,252.98,102.71,71,64,79
2150,354.27,271.68,105.58,71,64,79
2160,352.12,286.94,110.60,71,64,79
2170,348.76,309.12,116.67,71,61,79
2180,343.17,327.00,122.15,71,61,79
2190,336.96,334.94,127.58,71,60,79
2200,330.51,329.65,133.25,71,58,79
2210,323.92,324.08,136.97,71,57,79
2220,317.06,314.47,134.87,71,57,79
2230,311.58,303.84,126.90,71,57,79
2240,306.67,295.17,120.64,71,57,79
2250,304.97,288.74,121.40,71,57,79
2260,307.00,285.32,124.22,71,57,79
2270,313.22,284.78,127.34,70,57,79
2280,320.29,282.74,130.84,70,57,79
2290,328.27,276.91,134.30,70,57,79
2300,333.77,273.63,137.62,70,56,79
