frame,model1_herding_cohesion,model2_intercept_cohesion,model3_coordination_cohesion,model1_boid_count,model2_boid_count,model3_boid_count
10,297.92,297.92,297.88,100,100,100
20,302.19,302.19,302.19,100,100,100
30,309.27,309.31,308.90,100,100,100
40,317.35,317.54,316.48,100,100,100
50,325.34,325.66,324.61,99,99,100
60,333.96,333.90,334.99,98,97,100
70,340.89,340.89,345.66,98,97,100
80,342.28,341.83,355.61,97,96,100
90,343.26,342.46,365.34,97,96,100
100,341.77,341.35,372.93,97,96,100
110,339.14,339.11,379.72,97,96,100
120,334.60,336.28,384.37,97,96,100
130,330.35,333.67,385.24,97,96,100
140,328.29,331.91,384.70,97,96,100
150,327.86,331.50,385.85,97,96,100
160,329.78,331.53,384.57,96,96,100
170,330.34,334.20,380.27,96,96,100
180,329.62,339.60,373.06,96,96,100
190,328.16,347.08,364.70,96,96,100
200,326.20,358.06,356.36,96,96,100
210,325.04,372.07,348.36,96,96,100
220,324.42,383.86,341.14,96,96,100
230,322.73,388.40,335.98,96,96,100
240,316.37,382.49,333.84,96,95,100
250,308.01,376.44,332.73,96,95,100
260,298.40,369.76,328.56,96,95,100
270,287.28,362.76,322.98,96,95,100
280,275.64,361.47,316.04,96,95,100
290,262.14,363.05,309.82,96,95,100
300,248.30,363.93,304.55,96,95,100
310,236.46,363.73,299.18,96,95,100
320,229.41,363.34,293.26,96,95,100
330,227.69,364.68,286.34,96,95,100
340,229.90,372.41,278.71,96,94,100
350,234.30,375.71,268.57,96,93,100
360,239.97,380.29,256.73,96,93,100
370,244.43,382.62,250.39,96,93,99
380,248.01,383.98,245.89,96,92,99
390,252.61,380.82,241.65,96,92,99
400,260.45,376.77,238.74,96,92,99
410,268.21,372.18,237.09,96,92,99
420,274.07,365.47,238.11,96,92,99
430,277.20,357.20,244.55,96,91,99
440,278.48,341.26,254.28,96,88,99
450,276.47,322.65,266.21,96,85,99
460,272.67,319.55,277.99,96,84,99
470,269.13,327.13,287.04,96,84,99
480,261.61,338.44,288.43,95,84,99
490,257.58,350.12,279.84,95,84,99
500,254.16,358.48,268.73,95,84,99
510,252.33,362.09,256.40,95,83,99
520,250.51,365.21,241.94,95,80,99
530,247.62,362.92,226.35,95,78,99
540,244.46,351.16,210.91,95,77,99
550,241.89,343.24,195.52,95,76,99
560,238.90,331.83,180.95,95,76,99
570,234.30,316.91,169.70,95,76,99
580,226.31,301.17,161.68,95,76,99
590,212.48,284.00,156.44,95,76,99
600,197.83,267.56,154.26,95,76,99
610,180.48,250.77,157.97,95,75,99
620,160.06,233.51,167.48,95,75,99
630,139.51,214.12,178.34,95,74,99
640,119.09,193.36,189.16,95,74,99
